"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
226753,675,1,0,1,"enterprise_admin","morning",0,0
226747,4,0,0,0,"enterprise_admin","afternoon",0,0
226737,2,0,0,0,"admin","morning",0,1
226736,2,0,0,0,"admin","morning",0,0
226732,2,0,0,0,"admin","morning",0,2
226731,2,0,0,0,"admin","morning",0,2
226730,1,0,0,0,"admin","morning",0,2
226726,2,0,0,0,"enterprise_admin","morning",0,0
226725,2,0,0,0,"admin","morning",0,0
226724,1,0,0,0,"enterprise_admin","morning",0,0
226723,1,0,0,0,"enterprise_admin","morning",0,0
226715,1,0,0,0,"admin","afternoon",0,0
226712,3,0,0,0,"admin","afternoon",0,0
226711,2,0,0,0,"admin","afternoon",0,3
226707,4,0,0,0,"enterprise_admin","afternoon",0,0
226705,4,0,0,0,"admin","afternoon",0,3
226697,2,0,0,0,"admin","afternoon",0,0
226696,3,0,0,0,"admin","afternoon",0,4
226674,4,0,0,0,"admin","afternoon",0,0
226667,4,0,0,0,"admin","afternoon",1,1
226666,5,0,0,0,"admin","afternoon",0,1
226665,8,0,0,0,"admin","afternoon",0,5
226662,4,0,0,0,"admin","afternoon",0,5
226660,3,0,0,0,"admin","afternoon",0,1
226659,1,0,0,0,"admin","afternoon",0,0
226658,12,0,0,0,"admin","afternoon",0,0
226657,6,0,0,0,"52b06203aa0dc338","afternoon",0,0
226656,5,0,0,0,"52b06203aa0dc338","afternoon",0,0
226655,11,0,0,0,"52b06203aa0dc338","afternoon",0,0
226651,4,0,0,0,"admin","afternoon",0,0
226645,4,0,0,0,"enterprise_admin","afternoon",0,0
226636,1,0,0,0,"admin","morning",0,0
226630,6,0,0,0,"admin","morning",0,0
226619,14,0,0,0,"admin","morning",4,0
226607,2,0,0,0,"admin","morning",0,0
226594,1,0,0,0,"enterprise_admin","afternoon",0,0
226565,2,0,0,0,"admin","morning",0,0
226556,4,0,0,0,"admin","morning",0,0
226542,1,0,0,0,"admin","morning",0,0
226514,1,0,0,0,"admin","afternoon",0,0
226513,4,0,0,0,"admin","afternoon",1,0
226512,1,0,0,0,"46511b13d30dc8d4","afternoon",0,0
226511,1,0,0,0,"46511b13d30dc8d4","afternoon",0,0
226505,1,0,0,0,"46511b13d30dc8d4","morning",0,5
226504,1,0,0,0,"46511b13d30dc8d4","morning",0,4
226503,1,0,0,0,"46511b13d30dc8d4","morning",0,3
226502,1,0,0,0,"46511b13d30dc8d4","morning",0,3
226501,3,0,0,0,"46511b13d30dc8d4","morning",0,3
226500,1,0,0,0,"46511b13d30dc8d4","morning",0,2
226499,1,0,0,0,"46511b13d30dc8d4","morning",0,2
226496,1,0,0,0,"46511b13d30dc8d4","morning",0,2
226495,2,0,0,0,"46511b13d30dc8d4","morning",0,1
226494,5,0,0,0,"admin","morning",0,0
226493,8,0,0,0,"admin","morning",0,0
226492,8,0,0,0,"admin","morning",0,0
226490,1,0,0,0,"46511b13d30dc8d4","morning",0,0
